"FID","FNAME","FADDRESS","FCITY","FSTATE","FZIPCODE","FCOUNTY","FPHONE","FLATITUDE","FOWNERSHIP","HID","FLONGITUDE","FMODIFIED"
"270057","BOZEMAN HEALTH DEACONESS HOSPITAL","915 HIGHLAND BLVD","BOZEMAN","MT","59715","GALLATIN","(406) 585-5000","POINT (-111.017239 45.670278)","Voluntary non-profit - Private","","",""
"280023","CHI HEALTH ST FRANCIS","2620 WEST FAIDLEY AVE","GRAND ISLAND","NE","68803","HALL","(308) 384-4600","POINT (-98.370887 40.924267)","Voluntary non-profit - Church","","",""
"301312","HUGGINS HOSPITAL","240 SOUTH MAIN STREET","WOLFEBORO","NH","3894","CARROLL","(603) 569-7500","POINT (-71.201575 43.580944)","Voluntary non-profit - Private","","",""
"281348","TRI VALLEY HEALTH SYSTEM","1305 WEST HIGHWAY 6/34","CAMBRIDGE","NE","69022","FURNAS","(308) 697-3329","POINT (-100.179667 40.279904)","Voluntary non-profit - Private","","",""
"281322","ST FRANCIS MEMORIAL HOSPITAL","430 NORTH MONITOR ST","WEST POINT","NE","68788","CUMING","(402) 372-2404","POINT (-96.706763 41.842945)","Voluntary non-profit - Private","","",""
"310040","CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER","308 WILLOW AVE","HOBOKEN","NJ","7030","HUDSON","(201) 418-1000","POINT (-74.033559 40.741213)","Voluntary non-profit - Church","","",""
"270003","ST PETERS HOSPITAL","2475 BROADWAY","HELENA","MT","59601","LEWIS AND CLARK","(406) 442-2480","","Voluntary non-profit - Private","","",""
"330151","ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","HORNELL","NY","14843","STEUBEN","(607) 324-8000","POINT (-77.660142 42.314575)","Voluntary non-profit - Church","","",""
"261318","SALEM MEMORIAL DISTRICT HOSPITAL","PO BOX 774,","SALEM","MO","65560","DENT","(573) 729-6626","","Government - Hospital District or Authority","","",""
"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","NEPTUNE","NJ","7754","MONMOUTH","(732) 775-5500","","","","",""
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","FLEMINGTON","NJ","8822","HUNTERDON","(908) 788-6100","POINT (-74.86041 40.532524)","","","",""
"310081","INSPIRA MEDICAL CENTER WOODBURY","509 N BROAD ST","WOODBURY","NJ","8096","GLOUCESTER","(856) 845-0100","POINT (-75.149023 39.843556)","","","",""
"320086","LOVELACE REGIONAL HOSPITAL - ROSWELL","117 EAST 19TH STREET","ROSWELL","NM","88201","CHAVES","(575) 625-3345","POINT (-104.521754 33.415976)","","","",""
"261336","IRON COUNTY MEDICAL CENTER","301 NORTH HIGHWAY 21","PILOT KNOB","MO","63663","IRON","(573) 546-1260","POINT (-90.62919 37.608757)","","","",""
"330125","ROCHESTER GENERAL HOSPITAL","1425 PORTLAND AVENUE","ROCHESTER","NY","14621","MONROE","(585) 922-4000","POINT (-77.584424 43.192542)","","","",""
"310032","INSPIRA MEDICAL CENTER VINELAND","1505 W SHERMAN AVE","VINELAND","NJ","8360","CUMBERLAND","(856) 641-8000","POINT (-75.057329 39.447444)","","","",""
"281319","JEFFERSON COMMUNITY HEALTH & LIFE","P O BOX 277, 2200 H ST","FAIRBURY","NE","68352","JEFFERSON","(402) 729-3351","","","","",""
"270074","P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET","760 HOSPITAL CIRCLE, POST OFFICE BOX 760","BROWNING","MT","59417","GLACIER","(406) 338-6157","","","","",""
"330157","SAMARITAN MEDICAL CENTER","830 WASHINGTON STREET","WATERTOWN","NY","13601","JEFFERSON","(315) 785-4121","POINT (-75.912761 43.96489)","","","",""
"290057","HENDERSON HOSPITAL","1050 WEST GALLERIA DRIVE","HENDERSON","NV","89011","CLARK","(318) 290-4395","","","","",""
"330108","ST JOSEPH'S HOSPITAL","555 ST JOSEPH'S BLVD","ELMIRA","NY","14901","CHEMUNG","(607) 733-6541","POINT (-76.797472 42.091214)","","","",""
"271338","BIG HORN HOSPITAL","17 N MILES","HARDIN","MT","59034","BIG HORN","(406) 665-2310","POINT (-107.61701 45.728856)","","","",""
"320061","GALLUP INDIAN MEDICAL CENTER","516 E NIZHONI BLVD","GALLUP","NM","87301","MCKINLEY","(505) 722-1000","POINT (-108.730226 35.508444)","","","",""
"270023","COMMUNITY MEDICAL CENTER","2827 FORT MISSOULA RD","MISSOULA","MT","59804","MISSOULA","(406) 728-4100","POINT (-114.055919 46.842062)","Voluntary non-profit - Private","","",""
"330009","BRONX-LEBANON HOSPITAL CENTER","1276 FULTON AVENUE","BRONX","NY","10456","BRONX","(212) 588-7000","POINT (-73.903756 40.83175)","","","",""
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","PORTSMOUTH","NH","3801","ROCKINGHAM","(603) 436-5110","POINT (-70.787774 43.064093)","","","",""
"280111","COLUMBUS COMMUNITY HOSPITAL","4600 38TH ST","COLUMBUS","NE","68601","PLATTE","(402) 562-3351","POINT (-97.3849 41.453273)","","","",""
"281351","CHASE COUNTY COMMUNITY HOSPITAL","P O BOX 819, 600 W 12TH ST","IMPERIAL","NE","69033","CHASE","(308) 882-7111","","","","",""
"320030","ARTESIA GENERAL HOSPITAL","702 N 13TH STREET","ARTESIA","NM","88210","EDDY","(575) 748-3333","POINT (-104.412752 32.848603)","","","",""
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","OMAHA","NE","68114","DOUGLAS","(402) 955-5400","POINT (-96.040868 41.259681)","","","",""
"271343","PROVIDENCE ST JOSEPH MEDICAL CENTER","6 13TH AVE E","POLSON","MT","59860","LAKE","(406) 883-5377","POINT (-114.163327 47.683344)","","","",""
"320074","LOVELACE WESTSIDE HOSPITAL","10501 GOLF COURSE ROAD NW","ALBUQUERQUE","NM","87114","BERNALILLO","(505) 727-2001","POINT (-106.675974 35.207508)","","","",""
"310118","HUDSON REGIONAL HOSPITAL","55 MEADOWLANDS PKWY","SECAUCUS","NJ","7094","HUDSON","(201) 392-3200","POINT (-74.072099 40.791805)","","","",""
"281323","CHI HEALTH SCHUYLER","104 WEST 17TH ST","SCHUYLER","NE","68661","COLFAX","(402) 352-2441","POINT (-97.059725 41.454579)","","","",""
"310021","ST FRANCIS MEDICAL CENTER","601 HAMILTON AVE","TRENTON","NJ","8629","MERCER","(609) 599-5000","POINT (-74.742576 40.217126)","","","",""
"281336","YORK GENERAL HOSPITAL","2222 LINCOLN AVE","YORK","NE","68467","YORK","(402) 362-6671","","","","",""
"281335","CALLAWAY DISTRICT HOSPITAL","P O BOX 100, 211 E KIMBALL","CALLAWAY","NE","68825","CUSTER","(308) 836-2228","","","","",""
"271333","BROADWATER HEALTH CENTER","110 N OAK ST","TOWNSEND","MT","59644","BROADWATER","(406) 266-3186","POINT (-111.516428 46.321354)","","","",""
"281300","HARLAN COUNTY HEALTH SYSTEM","P O BOX 836, 717 NORTH BROWN ST","ALMA","NE","68920","HARLAN","(308) 928-2151","","","","",""
"260176","ST LUKE'S DES PERES HOSPITAL","2345 DOUGHERTY FERRY ROAD","SAINT LOUIS","MO","63122","ST. LOUIS","(314) 966-9100","POINT (-90.450408 38.581081)","Proprietary","","",""
