"MID","FID","MSTARTDATE","MENDDATE","MSTART_QUATER","MEND_QUATER","MNAME","MACRONYM","FNID"
"285","330277","01/01/2019","03/31/2019","1Q2019","1Q2019","Severe Sepsis 6-Hour","SEV_SEP_6HR",""
"286","370170","01/01/2018","12/31/2018","1Q2018","4Q2018","Screening for Metabolic Disorders","SMD",""
"287","330270","01/01/2018","12/31/2018","1Q2018","4Q2018","Alcohol Use Brief Intervention Provided or Offered","SUB_2",""
"288","331302","01/01/2018","12/31/2018","1Q2018","4Q2018","Alcohol Use Brief Intervention","SUB_2a",""
"289","360044","04/01/2018","03/31/2019","2Q2018","1Q2019","HCAHPS Summary Star Rating","Star Rating",""
"290","330229","01/01/2018","12/31/2018","1Q2018","4Q2018","Tobacco Use Treatment Provided or Offered","TOB_2",""
"291","370183","01/01/2018","12/31/2018","1Q2018","4Q2018","Tobacco Use Treatment (during the hospital stay)","TOB_2a",""
"292","370089","01/01/2018","12/31/2018","1Q2018","4Q2018","Tobacco Use Treatment at Discharge","TOB_3a",""
"293","340087","01/01/2018","12/31/2018","1Q2018","4Q2018","Transition Record with Specified Elements","TR1",""
"294","351315","01/01/2018","12/31/2018","1Q2018","4Q2018","Timely Transmission of Transition Record","TR2",""
"603","270057","02/02/2020","08/06/2020","1Q2020","4Q2020","Laproscopy","Laproscopy",""
"888","1","03/04/2020","03/31/2020","202001","202004","lasik","lasik",""
"23111","0","03/05/2020","03/25/2020","2323","2323","erfrg","fetgrth",""
"1","270057","01/01/2018","12/31/2018","1Q2018","4Q2018","ACS Participation data","ACS_REGISTRY",""
"2","330151","01/01/2018","12/31/2018","1Q2018","4Q2018","Emergency Department Volume","EDV",""
"3","310081","01/01/2017","12/31/2018","1Q2017","4Q2018","CAUTI_Score","HACRP_CAUTI",""
"4","320086","01/01/2017","12/31/2018","1Q2017","4Q2018","CDI_Score","HACRP_CDI",""
"5","261336","01/01/2017","12/31/2018","1Q2017","4Q2018","CLABSI_Score","HACRP_CLABSI",""
"6","330125","01/01/2017","12/31/2018","1Q2017","4Q2018","MRSA_Score","HACRP_MRSA",""
"7","310032","07/01/2016","06/30/2018","3Q2016","2Q2018","AHRQ_PSI_90_Score","HACRP_PSI90",""
"8","281319","01/01/2017","12/31/2018","1Q2017","4Q2018","SSI_Score","HACRP_SSI",""
"9","270074","07/01/2016","12/31/2018","3Q2016","4Q2018","Total_HAC_Score","HACRP_Total",""
"10","330009","04/01/2018","03/31/2019","2Q2018","1Q2019","SSI - Colon Surgery","HAI_3",""
"11","300029","01/01/2016","12/31/2016","1Q2016","4Q2016","SSI - Colon Surgery","HAI_3_HVBP_Baseline",""
"12","281351","04/01/2018","03/31/2019","2Q2018","1Q2019","SSI - Abdominal Hysterectomy","HAI_4",""
"13","320030","01/01/2018","12/31/2018","1Q2016","4Q2016","SSI - Abdominal Hysterectomy","HAI_4_HVBP_Baseline",""
"14","271343","04/01/2018","03/31/2019","2Q2018","1Q2019","MRSA Bacteremia","HAI_5",""
"15","320074","01/01/2016","12/31/2016","1Q2016","4Q2016","MRSA","HAI_5_HVBP_Baseline",""
"16","281323","04/01/2018","03/31/2019","2Q2018","1Q2019","Clostridium Difficile (C.Diff)","HAI_6",""
"17","310021","01/01/2016","12/31/2016","1Q2016","4Q2016","CDI","HAI_6_HVBP_Baseline",""
"18","271333","01/01/2018","12/31/2018","1Q2018","4Q2018","Hours of seclusion","HBIPS_3",""
"19","260176","01/01/2016","12/31/2016","1Q2016","4Q2016","HCAHPS Measures","HCAHPS_HVBP_Baseline",""
"20","330158","04/01/2018","03/31/2019","2Q2018","1Q2019","Communication with Nurses","Composite 1 Q1 to Q3",""
"21","310076","04/01/2018","03/31/2019","2Q2018","1Q2019","Communication with Doctors","Composite 2 Q5 to Q7",""
"22","310011","10/01/2018","03/31/2019","4Q2018","1Q2019","Influenza Immunization","IPFQR_IMM_2",""
"23","330057","04/01/2018","03/31/2019","2Q2018","1Q2019","PCH HCAHPS Linear Score","Linear Score",""
"24","271305","01/01/2018","12/31/2018","1Q2018","4Q2018","Left without being seen","OP_22",""
"25","281365","04/01/2018","03/31/2019","2Q2018","1Q2019","Median Time to ECG","OP_5",""
"26","260077","07/01/2017","06/30/2018","3Q2017","2Q2018","Mammography Follow-up Rates","OP_9",""
"27","30073","04/01/2018","03/31/2019","2Q2018","1Q2019","Clostridium Difficile (C.Diff)","PCH_26",""
"28","30085","04/01/2018","03/31/2019","2Q2018","1Q2019","MRSA Bacteremia","PCH_27",""
"29","31309","04/01/2018","03/31/2019","2Q2018","1Q2019","Elective Delivery","PC_01",""
"30","40007","01/01/2016","12/31/2016","1Q2016","4Q2016","Elective Delivery","PC_01_HVBP_Baseline",""
"31","40132","07/01/2016","06/30/2018","3Q2016","2Q2018","Postoperative Sepsis Rate","PSI_13",""
"32","360071","07/01/2016","06/30/2018","3Q2016","2Q2018","Pressure Ulcer Rate","PSI_3",""
"33","340143","04/01/2018","03/31/2019","2Q2018","1Q2019","Overall Rating of Hospital","Q21",""
"34","361310","07/01/2015","06/30/2018","3Q2015","2Q2018","Pneumonia 30-Day Readmissions","READM_30_PN_HRRP",""
